expo,table,project,sponsors,link,route
2,33,TravelAR,"Best Use of VR/AR for Content Discovery, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56755-travelar,vr/ar
2,34,Fulfill,"Best Use of VR/AR for Content Discovery, Best Use of the Capital One API - Nessie, Best Use of Nexmo API, Lutron IoT Prize, Best Use of Linode Services, Most Entrepreneurial Hack",http://pennapps-xiv.devpost.com/submissions/56756-fulfill,vr/ar
2,35,Voice Controlled Vehicle,"Lutron IoT Prize, Best Use of Rapid Prototyping, sposnored by AddLab",http://pennapps-xiv.devpost.com/submissions/56757-voice-controlled-vehicle,hardware
2,36,Remote Gesture Control,Lutron IoT Prize,http://pennapps-xiv.devpost.com/submissions/56758-remote-gesture-control,hardware
2,37,Trimaran (because 3 things on waves),"Best Use of VR/AR for Content Discovery, Best Use of Data Visualization",http://pennapps-xiv.devpost.com/submissions/56761-trimaran-because-3-things-on-waves,hardware
2,38,SafePath,"Best Public Safety or Video Processing App, Best Use of Linode Services, Best Use of Data Visualization, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56762-safepath,social + civic hacking
2,39,RotMeNot,Most Entrepreneurial Hack,http://pennapps-xiv.devpost.com/submissions/56763-rotmenot,social + civic hacking
2,40,ShadowPost,"Best Use of MongoDB, Most Entrepreneurial Hack, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56764-shadowpost,social + civic hacking
2,41,Conservar,"Best Use of the Capital One API - Nessie, Best Use of Linode Services, Best Use of MongoDB, Best Use of Data Visualization, Most Entrepreneurial Hack, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56765-conservar,social + civic hacking
2,42,Space InVRders,"Best Use of VR/AR for Content Discovery, Best Use of Linode Services",http://pennapps-xiv.devpost.com/submissions/56766-space-invrders,vr/ar
2,43,Hobo Hockey,Best Use of VR/AR for Content Discovery,http://pennapps-xiv.devpost.com/submissions/56767-hobo-hockey,vr/ar
2,44,Ringman,"Best Domain Name Registered in PennApps XIV, Best Use of Nexmo API, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56768-ringman,
2,45,Sigma,"Best Domain Name Registered in PennApps XIV, Best Use of Linode Services, Best Use of MongoDB, Most Entrepreneurial Hack, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56770-sigma,education
2,46,TA Timer,"Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56771-ta-timer,education
2,47,Notebook,,http://pennapps-xiv.devpost.com/submissions/56772-notebook,education
2,48,Autonomous Suitcase,"Best Use of Rapid Prototyping, sposnored by AddLab",http://pennapps-xiv.devpost.com/submissions/56773-autonomous-suitcase,hardware
2,49,Multi Players in Kinect World,,http://pennapps-xiv.devpost.com/submissions/56774-multi-players-in-kinect-world,vr/ar
2,50,Squirrel,,http://pennapps-xiv.devpost.com/submissions/56775-squirrel,hardware
2,51,Neighbors,Best Use of Nexmo API,http://pennapps-xiv.devpost.com/submissions/56776-neighbors,
2,52,Dojo,"Best Use of VR/AR for Content Discovery, Best Use of MongoDB, Most Entrepreneurial Hack, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56777-dojo,education
2,53,EduSmart,"Most Entrepreneurial Hack, Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56778-edusmart,education
2,54,ROSDev,,http://pennapps-xiv.devpost.com/submissions/56779-rosdev,hardware
2,55,Project Em,"Best Amazon Alexa Hack, Best Use of VR/AR for Content Discovery, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56780-project-em,vr/ar
2,56,CSShool,"Best Domain Name Registered in PennApps XIV, Most Entrepreneurial Hack, Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56781-csshool,education
2,57,Homie,"Best Domain Name Registered in PennApps XIV, Best Use of MongoDB, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56782-homie,social + civic hacking
2,58,At Helse,"Best Use of Linode Services, Best Use of MongoDB, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56783-at-helse,health
2,59,Voir,"Lutron IoT Prize, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56784-voir,hardware
2,60,WarrantyTracker,Most Entrepreneurial Hack,http://pennapps-xiv.devpost.com/submissions/56785-warrantytracker,education
2,61,Laser Tag,Most Entrepreneurial Hack,http://pennapps-xiv.devpost.com/submissions/56786-laser-tag,vr/ar
2,62,MediBot,Best Amazon Alexa Hack,http://pennapps-xiv.devpost.com/submissions/56787-medibot,health
2,63,Who'sThere,,http://pennapps-xiv.devpost.com/submissions/56788-who-sthere,hardware
2,64,iDropbox,"Best Domain Name Registered in PennApps XIV, Lutron IoT Prize, Best Use of MongoDB, Best Use of Data Visualization, Most Entrepreneurial Hack, Best User Experience, Best Progressive Web App, Best Use of Lyft API",http://pennapps-xiv.devpost.com/submissions/56789-idropbox,social + civic hacking
2,65,LLVZen,"Most Entrepreneurial Hack, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56790-llvzen,
2,66,UrbanHelpProject,"Best Use of MongoDB, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56791-urbanhelpproject,social + civic hacking
2,67,Make Slack Great Again,"Best Amazon Alexa Hack, Best Use of Data Visualization",http://pennapps-xiv.devpost.com/submissions/56792-make-slack-great-again,education
2,68,LIT,"Best Use of VR/AR for Content Discovery, Best Use of Data Visualization, Most Entrepreneurial Hack, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56793-lit,vr/ar
2,69,Soundscape,"Best Use of VR/AR for Content Discovery, Best Use of Linode Services, Best Use of MongoDB, Best Use of Data Visualization, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56794-soundscape,vr/ar
2,70,MeChrome,Best Progressive Web App,http://pennapps-xiv.devpost.com/submissions/56795-mechrome,
2,71,Rouse,,http://pennapps-xiv.devpost.com/submissions/56796-rouse,social + civic hacking
2,72,AirPnP,"Best Use of the Capital One API - Nessie, Best Use of Nexmo API, Best Use of Linode Services, Best Use of MongoDB, Most Entrepreneurial Hack, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56797-airpnp,social + civic hacking
2,73,Experia,Lutron IoT Prize,http://pennapps-xiv.devpost.com/submissions/56798-experia,vr/ar
2,74,Fire at Will,"Best Use of Linode Services, Best Use of MongoDB, Best Use of Data Visualization, Most Entrepreneurial Hack",http://pennapps-xiv.devpost.com/submissions/56800-fire-at-will,cybersecurity
2,75,Find Missing People,,http://pennapps-xiv.devpost.com/submissions/56801-find-missing-people,social + civic hacking
2,76,AllCommunication,"Best Use of MongoDB, Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56802-allcommunication,social + civic hacking
2,77,RecoGrader,,http://pennapps-xiv.devpost.com/submissions/56803-recograder,
2,78,Sign Speak,"Best Use of Rapid Prototyping, sposnored by AddLab",http://pennapps-xiv.devpost.com/submissions/56804-sign-speak,social + civic hacking
2,79,Learn My Sites,"Best Use of Data Visualization, Most Entrepreneurial Hack, Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56805-learn-my-sites,education
2,80,Bus Notify,,http://pennapps-xiv.devpost.com/submissions/56806-bus-notify,social + civic hacking
2,81,Thryft,Best Use of Lyft API,http://pennapps-xiv.devpost.com/submissions/56807-thryft,social + civic hacking
2,82,HackerTracker,,http://pennapps-xiv.devpost.com/submissions/56808-hackertracker,
1,84,Virtual biomedical computing system,"Best Design Using PYNQ-Z1 Boards, Peripherals, and Tools (3)",http://pennapps-xiv.devpost.com/submissions/56809-virtual-biomedical-computing-system,health
2,83,SpeakAR,"Best Use of VR/AR for Content Discovery, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56811-speakar,vr/ar
2,84,Brognosis,"Best Domain Name Registered in PennApps XIV, Best Use of Data Visualization, Most Entrepreneurial Hack, Lutron IoT Prize, Best Use of MongoDB, Best User Experience, Best Progressive Web App, Best Use of Rapid Prototyping, sposnored by AddLab",http://pennapps-xiv.devpost.com/submissions/56812-brognosis,health
2,85,Dr0pbox 2.0,"Most Entrepreneurial Hack, Best Use of MongoDB, Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56817-dr0pbox-2-0,cybersecurity
2,86,Wavelength,"Most Entrepreneurial Hack, Best Use of Nexmo API, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56818-wavelength,
